id,category,vendor,item_name,quantity,base_cost,shipping_cost,tax_cost,other_cost,purchase_date,card_type,card_last4
1,electronics,MediaMarkt,Cleaning Spray,3,28.58,5.95,5.43,0.0,2026-07-07,Mastercard,7733
2,electronics,MediaMarkt,Resistance Bands,3,79.79,0,15.16,0.0,2026-07-09,Mastercard,4291
3,groceries,REWE,USB-C Cable,2,72.02,0,13.68,0.0,2026-08-30,Mastercard,7733
4,groceries,REWE,Notebook,2,106.72,3.99,20.28,0.0,2026-07-22,Visa,1042
5,sport,Decathlon,Protein Powder,2,11.5,3.99,2.19,0.0,2026-08-04,Visa,4291
6,sport,Decathlon,USB-C Cable,2,61.85,0,11.75,0.0,2026-07-10,Visa,4291
7,household,Amazon,Chicken Breast 2kg,3,53.32,0,10.13,0.0,2026-08-12,Visa,4291
8,household,dm,Notebook,3,100.1,5.95,19.02,0.0,2026-07-26,Mastercard,4291
9,household,Amazon,Notebook,3,52.49,0,9.97,0.0,2026-08-06,Visa,4291
10,household,dm,Notebook,2,26.94,5.95,5.12,0.0,2026-08-05,Mastercard,4291
11,groceries,REWE,Chicken Breast 2kg,2,109.3,0,20.77,0.0,2026-07-17,Visa,1042
12,household,dm,USB-C Cable,1,114.23,0,21.7,0.0,2026-07-15,Mastercard,4291
13,household,Amazon,USB-C Cable,2,43.09,5.95,8.19,0.0,2026-08-07,Mastercard,4291
14,groceries,Edeka,Notebook,1,31.87,0,6.06,0.0,2026-07-11,Mastercard,7733
15,electronics,MediaMarkt,Coffee Beans,1,8.71,0,1.65,0.0,2026-07-31,Mastercard,7733
16,household,Amazon,Resistance Bands,2,104.24,0,19.81,0.0,2026-08-31,Mastercard,1042
17,household,Amazon,Protein Powder,3,51.07,5.95,9.7,0.0,2026-07-19,Visa,4291
18,electronics,MediaMarkt,Protein Powder,2,80.72,0,15.34,0.0,2026-08-03,Visa,7733
19,groceries,Edeka,Notebook,2,107.87,5.95,20.5,0.0,2026-08-18,Visa,7733
20,household,dm,Notebook,1,78.74,3.99,14.96,0.0,2026-08-02,Visa,4291
21,groceries,Edeka,Protein Powder,2,77.72,3.99,14.77,0.0,2026-07-26,Mastercard,1042
22,household,dm,Shampoo,1,116.51,0,22.14,0.0,2026-07-01,Mastercard,7733
23,household,dm,Protein Powder,1,44.66,0,8.49,0.0,2026-08-22,Visa,7733
24,groceries,Edeka,Chicken Breast 2kg,3,21.25,0,4.04,0.0,2026-08-26,Visa,4291
25,electronics,MediaMarkt,Resistance Bands,3,41.02,0,7.79,0.0,2026-08-02,Mastercard,1042
26,sport,Decathlon,Chicken Breast 2kg,3,40.56,0,7.71,0.0,2026-08-09,Visa,7733
27,electronics,MediaMarkt,Cleaning Spray,3,110.53,5.95,21.0,0.0,2026-08-05,Visa,4291
28,household,dm,Chicken Breast 2kg,3,82.75,0,15.72,0.0,2026-07-03,Mastercard,4291
29,household,Amazon,Coffee Beans,1,67.03,0,12.74,0.0,2026-07-17,Visa,7733
30,household,Amazon,Chicken Breast 2kg,3,59.36,0,11.28,0.0,2026-07-01,Mastercard,1042
31,household,Amazon,Resistance Bands,3,21.0,0,3.99,0.0,2026-08-28,Visa,1042
32,sport,Decathlon,Protein Powder,3,15.83,0,3.01,0.0,2026-07-06,Mastercard,4291
33,household,dm,Coffee Beans,2,96.86,0,18.4,0.0,2026-08-05,Mastercard,1042
34,household,dm,Shampoo,3,13.54,3.99,2.57,0.0,2026-08-03,Visa,4291
35,electronics,MediaMarkt,Protein Powder,3,31.05,0,5.9,0.0,2026-08-28,Mastercard,7733
36,groceries,Edeka,Shampoo,1,39.75,0,7.55,0.0,2026-07-10,Mastercard,7733
37,groceries,Edeka,Chicken Breast 2kg,3,69.02,5.95,13.11,0.0,2026-07-20,Visa,4291
38,sport,Decathlon,Chicken Breast 2kg,1,57.6,0,10.94,0.0,2026-07-29,Mastercard,7733
39,household,dm,Notebook,1,34.28,5.95,6.51,0.0,2026-08-18,Mastercard,1042
40,household,Amazon,Protein Powder,2,41.18,5.95,7.82,0.0,2026-08-09,Visa,1042
41,groceries,Edeka,Resistance Bands,3,92.38,3.99,17.55,0.0,2026-08-29,Mastercard,7733
42,sport,Decathlon,USB-C Cable,3,57.18,0,10.86,0.0,2026-07-23,Visa,7733
43,groceries,Edeka,Shampoo,3,94.86,5.95,18.02,0.0,2026-08-19,Mastercard,1042
44,sport,Decathlon,Resistance Bands,2,83.44,0,15.85,0.0,2026-08-29,Visa,4291
45,groceries,Edeka,Notebook,1,72.61,0,13.8,0.0,2026-07-31,Mastercard,4291
