id,name,brand,category,serving_amount,serving_unit,calories,protein,fat,carbs
1,Chicken Breast,Kirkland,protein,100,g,165,31.0,3.6,0.0
2,White Rice,Nishiki,grain,100,g,130,2.7,0.3,28.2
3,Olive Oil,Bertolli,fat,15,ml,119,0.0,13.5,0.0
4,Broccoli,,vegetable,100,g,34,2.8,0.4,6.6
5,Greek Yogurt,Fage,dairy,170,g,100,18.0,0.7,6.0
6,Rolled Oats,Quaker,grain,40,g,150,5.0,3.0,27.0
7,Whey Protein,Optimum,supplement,30,g,120,24.0,1.5,3.0
8,Banana,,fruit,118,g,105,1.3,0.4,27.0
9,Ground Beef 85/15,,protein,100,g,250,26.0,15.0,0.0
10,Sweet Potato,,vegetable,130,g,112,2.0,0.1,26.0
