id,recipe_id,food_item_id,quantity,calories,protein_g,fat_g,carbs_g,logged_date
1,,6,1.62,243.0,8.1,4.9,43.7,2026-07-01
2,1,,0.85,547.4,56.1,17.9,36.0,2026-07-01
3,2,,1.48,777.0,52.2,11.7,124.3,2026-07-01
4,2,,1.31,687.8,46.2,10.3,110.0,2026-07-01
5,,4,1.78,60.5,5.0,0.7,11.7,2026-07-01
6,1,,0.92,592.5,60.7,19.4,38.9,2026-07-02
7,,8,1.79,188.0,2.3,0.7,48.3,2026-07-02
8,,5,1.25,125.0,22.5,0.9,7.5,2026-07-02
9,,6,1.71,256.5,8.6,5.1,46.2,2026-07-02
10,,4,1.48,50.3,4.1,0.6,9.8,2026-07-02
11,2,,1.3,682.5,45.9,10.3,109.2,2026-07-03
12,3,,1.43,1083.9,84.1,43.8,83.8,2026-07-03
13,3,,1.13,856.5,66.4,34.6,66.2,2026-07-03
14,3,,1.31,993.0,77.0,40.1,76.8,2026-07-04
15,,3,1.57,186.8,0.0,21.2,0.0,2026-07-04
16,1,,0.92,592.5,60.7,19.4,38.9,2026-07-04
17,3,,1.29,977.8,75.9,39.5,75.6,2026-07-04
18,2,,1.49,782.2,52.6,11.8,125.2,2026-07-04
19,3,,1.09,826.2,64.1,33.4,63.9,2026-07-05
20,2,,1.31,687.8,46.2,10.3,110.0,2026-07-05
21,,6,0.61,91.5,3.0,1.8,16.5,2026-07-05
22,,8,0.84,88.2,1.1,0.3,22.7,2026-07-05
23,1,,1.32,850.1,87.1,27.9,55.8,2026-07-05
24,1,,1.04,669.8,68.6,21.9,44.0,2026-07-06
25,1,,1.35,869.4,89.1,28.5,57.1,2026-07-06
26,2,,1.17,614.2,41.3,9.2,98.3,2026-07-06
27,1,,1.29,830.8,85.1,27.2,54.6,2026-07-06
28,2,,1.33,698.2,46.9,10.5,111.7,2026-07-07
29,1,,0.86,553.8,56.8,18.1,36.4,2026-07-07
30,2,,0.76,399.0,26.8,6.0,63.8,2026-07-07
31,,3,0.75,89.2,0.0,10.1,0.0,2026-07-08
32,,1,0.57,94.0,17.7,2.1,0.0,2026-07-08
33,1,,1.2,772.8,79.2,25.3,50.8,2026-07-08
34,1,,0.9,579.6,59.4,19.0,38.1,2026-07-09
35,,5,1.09,109.0,19.6,0.8,6.5,2026-07-09
36,1,,1.27,817.9,83.8,26.8,53.7,2026-07-09
37,3,,1.17,886.9,68.8,35.8,68.6,2026-07-09
38,1,,1.44,927.4,95.0,30.4,60.9,2026-07-10
39,1,,0.98,631.1,64.7,20.7,41.5,2026-07-10
40,2,,0.83,435.8,29.3,6.6,69.7,2026-07-10
41,2,,1.16,609.0,40.9,9.2,97.4,2026-07-11
42,2,,1.39,729.8,49.1,11.0,116.8,2026-07-11
43,1,,1.18,759.9,77.9,24.9,49.9,2026-07-11
44,2,,0.81,425.2,28.6,6.4,68.0,2026-07-12
45,2,,1.11,582.8,39.2,8.8,93.2,2026-07-12
46,1,,1.13,727.7,74.6,23.8,47.8,2026-07-12
47,1,,0.89,573.2,58.7,18.8,37.6,2026-07-12
48,,2,1.45,188.5,3.9,0.4,40.9,2026-07-12
49,3,,1.16,879.3,68.2,35.5,68.0,2026-07-13
50,,10,0.84,94.1,1.7,0.1,21.8,2026-07-13
51,2,,1.18,619.5,41.7,9.3,99.1,2026-07-13
52,1,,0.77,495.9,50.8,16.2,32.6,2026-07-13
53,1,,1.27,817.9,83.8,26.8,53.7,2026-07-13
54,,5,1.8,180.0,32.4,1.3,10.8,2026-07-14
55,,2,0.54,70.2,1.5,0.2,15.2,2026-07-14
56,,9,1.24,310.0,32.2,18.6,0.0,2026-07-14
57,,2,0.73,94.9,2.0,0.2,20.6,2026-07-15
58,2,,1.12,588.0,39.5,8.8,94.1,2026-07-15
59,,10,1.77,198.2,3.5,0.2,46.0,2026-07-15
60,2,,0.89,467.2,31.4,7.0,74.8,2026-07-15
61,,2,1.56,202.8,4.2,0.5,44.0,2026-07-16
62,1,,1.26,811.4,83.2,26.6,53.3,2026-07-16
63,3,,1.17,886.9,68.8,35.8,68.6,2026-07-16
64,1,,1.24,798.6,81.8,26.2,52.5,2026-07-17
65,2,,1.19,624.8,42.0,9.4,100.0,2026-07-17
66,2,,1.09,572.2,38.5,8.6,91.6,2026-07-17
67,2,,1.15,603.8,40.6,9.1,96.6,2026-07-17
68,2,,1.3,682.5,45.9,10.3,109.2,2026-07-17
69,1,,1.1,708.4,72.6,23.2,46.5,2026-07-18
70,,4,0.83,28.2,2.3,0.3,5.5,2026-07-18
71,3,,0.95,720.1,55.9,29.1,55.7,2026-07-18
72,2,,0.95,498.8,33.5,7.5,79.8,2026-07-18
73,,4,0.72,24.5,2.0,0.3,4.8,2026-07-19
74,3,,0.92,697.4,54.1,28.2,53.9,2026-07-19
75,1,,1.28,824.3,84.5,27.0,54.1,2026-07-19
76,3,,1.06,803.5,62.3,32.4,62.1,2026-07-19
77,,6,0.72,108.0,3.6,2.2,19.4,2026-07-20
78,3,,0.82,621.6,48.2,25.1,48.1,2026-07-20
79,2,,1.19,624.8,42.0,9.4,100.0,2026-07-20
80,3,,1.3,985.4,76.4,39.8,76.2,2026-07-21
81,,4,0.55,18.7,1.5,0.2,3.6,2026-07-21
82,1,,1.2,772.8,79.2,25.3,50.8,2026-07-21
83,,4,1.69,57.5,4.7,0.7,11.2,2026-07-22
84,3,,0.95,720.1,55.9,29.1,55.7,2026-07-22
85,,3,1.71,203.5,0.0,23.1,0.0,2026-07-22
86,,7,1.73,207.6,41.5,2.6,5.2,2026-07-22
87,1,,0.81,521.6,53.5,17.1,34.3,2026-07-23
88,2,,1.37,719.2,48.4,10.8,115.1,2026-07-23
89,1,,0.96,618.2,63.4,20.3,40.6,2026-07-23
90,2,,0.75,393.8,26.5,5.9,63.0,2026-07-23
91,2,,1.19,624.8,42.0,9.4,100.0,2026-07-24
92,3,,0.83,629.1,48.8,25.4,48.6,2026-07-24
93,1,,0.96,618.2,63.4,20.3,40.6,2026-07-24
94,1,,1.31,843.6,86.5,27.6,55.4,2026-07-24
95,1,,1.32,850.1,87.1,27.9,55.8,2026-07-24
96,,6,0.9,135.0,4.5,2.7,24.3,2026-07-25
97,,2,1.65,214.5,4.5,0.5,46.5,2026-07-25
98,2,,1.37,719.2,48.4,10.8,115.1,2026-07-25
99,,5,0.95,95.0,17.1,0.7,5.7,2026-07-25
100,2,,1.35,708.8,47.7,10.7,113.4,2026-07-26
101,2,,0.93,488.2,32.8,7.3,78.1,2026-07-26
102,,3,1.57,186.8,0.0,21.2,0.0,2026-07-26
103,2,,0.9,472.5,31.8,7.1,75.6,2026-07-26
104,3,,0.82,621.6,48.2,25.1,48.1,2026-07-27
105,2,,0.79,414.8,27.9,6.2,66.4,2026-07-27
106,,5,1.85,185.0,33.3,1.3,11.1,2026-07-27
107,1,,0.87,560.3,57.4,18.4,36.8,2026-07-27
108,2,,1.46,766.5,51.5,11.5,122.6,2026-07-28
109,2,,0.95,498.8,33.5,7.5,79.8,2026-07-28
110,2,,1.32,693.0,46.6,10.4,110.9,2026-07-28
111,2,,0.76,399.0,26.8,6.0,63.8,2026-07-29
112,2,,1.31,687.8,46.2,10.3,110.0,2026-07-29
113,,5,0.7,70.0,12.6,0.5,4.2,2026-07-29
114,3,,0.81,614.0,47.6,24.8,47.5,2026-07-29
115,,10,1.27,142.2,2.5,0.1,33.0,2026-07-30
116,,4,0.54,18.4,1.5,0.2,3.6,2026-07-30
117,,8,0.93,97.7,1.2,0.4,25.1,2026-07-30
118,1,,1.39,895.2,91.7,29.3,58.8,2026-07-30
119,1,,1.33,856.5,87.8,28.1,56.3,2026-07-31
120,,3,1.32,157.1,0.0,17.8,0.0,2026-07-31
121,2,,1.47,771.8,51.9,11.6,123.5,2026-07-31
122,2,,0.9,472.5,31.8,7.1,75.6,2026-08-01
123,3,,1.12,849.0,65.9,34.3,65.6,2026-08-01
124,,9,1.28,320.0,33.3,19.2,0.0,2026-08-01
125,3,,1.26,955.1,74.1,38.6,73.8,2026-08-01
126,2,,1.14,598.5,40.2,9.0,95.8,2026-08-02
127,3,,0.87,659.5,51.2,26.6,51.0,2026-08-02
128,,9,1.92,480.0,49.9,28.8,0.0,2026-08-02
129,2,,1.27,666.8,44.8,10.0,106.7,2026-08-02
130,,4,1.58,53.7,4.4,0.6,10.4,2026-08-03
131,3,,0.93,704.9,54.7,28.5,54.5,2026-08-03
132,1,,1.37,882.3,90.4,28.9,58.0,2026-08-03
133,2,,1.03,540.8,36.4,8.1,86.5,2026-08-03
134,2,,0.97,509.2,34.2,7.7,81.5,2026-08-03
135,,10,0.95,106.4,1.9,0.1,24.7,2026-08-04
136,3,,0.91,689.8,53.5,27.8,53.3,2026-08-04
137,1,,0.94,605.4,62.0,19.8,39.8,2026-08-04
138,,10,1.98,221.8,4.0,0.2,51.5,2026-08-04
139,2,,1.33,698.2,46.9,10.5,111.7,2026-08-05
140,,8,1.45,152.2,1.9,0.6,39.1,2026-08-05
141,,1,1.96,323.4,60.8,7.1,0.0,2026-08-05
142,3,,0.86,651.9,50.6,26.3,50.4,2026-08-05
143,1,,0.97,624.7,64.0,20.5,41.0,2026-08-05
144,3,,1.38,1046.0,81.1,42.2,80.9,2026-08-06
145,1,,0.81,521.6,53.5,17.1,34.3,2026-08-06
146,,9,1.69,422.5,43.9,25.3,0.0,2026-08-06
147,1,,1.42,914.5,93.7,30.0,60.1,2026-08-07
148,,10,0.53,59.4,1.1,0.1,13.8,2026-08-07
149,3,,1.48,1121.8,87.0,45.3,86.7,2026-08-07
150,1,,0.97,624.7,64.0,20.5,41.0,2026-08-08
151,2,,1.4,735.0,49.4,11.1,117.6,2026-08-08
152,1,,1.09,702.0,71.9,23.0,46.1,2026-08-08
153,3,,1.32,1000.6,77.6,40.4,77.4,2026-08-08
154,1,,1.16,747.0,76.6,24.5,49.1,2026-08-08
155,3,,1.08,818.6,63.5,33.0,63.3,2026-08-09
156,2,,0.97,509.2,34.2,7.7,81.5,2026-08-09
157,3,,1.0,758.0,58.8,30.6,58.6,2026-08-09
158,2,,1.26,661.5,44.5,10.0,105.8,2026-08-09
159,1,,1.09,702.0,71.9,23.0,46.1,2026-08-09
160,1,,1.04,669.8,68.6,21.9,44.0,2026-08-10
161,2,,0.96,504.0,33.9,7.6,80.6,2026-08-10
162,1,,0.99,637.6,65.3,20.9,41.9,2026-08-10
163,,6,0.93,139.5,4.7,2.8,25.1,2026-08-10
164,1,,1.05,676.2,69.3,22.2,44.4,2026-08-11
165,1,,1.31,843.6,86.5,27.6,55.4,2026-08-11
166,3,,0.93,704.9,54.7,28.5,54.5,2026-08-11
167,1,,1.06,682.6,70.0,22.4,44.8,2026-08-11
168,1,,1.44,927.4,95.0,30.4,60.9,2026-08-12
169,2,,1.33,698.2,46.9,10.5,111.7,2026-08-12
170,3,,1.46,1106.7,85.8,44.7,85.6,2026-08-12
171,3,,1.45,1099.1,85.3,44.4,85.0,2026-08-13
172,2,,0.84,441.0,29.7,6.6,70.6,2026-08-13
173,3,,0.78,591.2,45.9,23.9,45.7,2026-08-13
174,3,,1.01,765.6,59.4,30.9,59.2,2026-08-13
175,3,,1.47,1114.3,86.4,45.0,86.1,2026-08-13
176,2,,0.97,509.2,34.2,7.7,81.5,2026-08-14
177,,4,1.0,34.0,2.8,0.4,6.6,2026-08-14
178,3,,1.42,1076.4,83.5,43.5,83.2,2026-08-14
179,2,,1.01,530.2,35.7,8.0,84.8,2026-08-14
180,,8,0.7,73.5,0.9,0.3,18.9,2026-08-15
181,,3,0.84,100.0,0.0,11.3,0.0,2026-08-15
182,,10,1.28,143.4,2.6,0.1,33.3,2026-08-15
183,,7,1.35,162.0,32.4,2.0,4.1,2026-08-16
184,,8,0.5,52.5,0.7,0.2,13.5,2026-08-16
185,1,,1.18,759.9,77.9,24.9,49.9,2026-08-16
186,,4,1.16,39.4,3.2,0.5,7.7,2026-08-16
187,,10,1.88,210.6,3.8,0.2,48.9,2026-08-16
188,2,,1.06,556.5,37.4,8.4,89.0,2026-08-17
189,3,,0.76,576.1,44.7,23.3,44.5,2026-08-17
190,2,,0.82,430.5,28.9,6.5,68.9,2026-08-17
191,1,,1.31,843.6,86.5,27.6,55.4,2026-08-17
192,2,,1.32,693.0,46.6,10.4,110.9,2026-08-17
193,3,,0.86,651.9,50.6,26.3,50.4,2026-08-18
194,2,,0.83,435.8,29.3,6.6,69.7,2026-08-18
