id,date,steps,steps_agg,actual_steps_taken,calories_burned
1,2026-07-01,8672,8672,7930,351.7
2,2026-07-02,8298,8298,7700,341.5
3,2026-07-03,9307,9307,8616,382.8
4,2026-07-04,12702,12702,13015,580.6
5,2026-07-05,11019,11019,11523,514.5
6,2026-07-06,6679,6679,5743,257.2
7,2026-07-07,10589,10589,11668,522.6
8,2026-07-08,8722,8722,8144,364.7
9,2026-07-09,12572,12572,10816,483.5
10,2026-07-10,9790,9790,10526,470.8
11,2026-07-11,12406,12406,13852,621.1
12,2026-07-12,8988,8988,8563,384.6
13,2026-07-13,7981,7981,7994,360.0
14,2026-07-14,13936,13936,13793,620.9
15,2026-07-15,8781,8781,8847,398.3
16,2026-07-16,9940,9940,9642,434.8
17,2026-07-17,13614,13614,14520,657.0
18,2026-07-18,13626,13626,12098,549.3
19,2026-07-19,7648,7648,8071,367.7
20,2026-07-20,7462,7462,7547,344.5
21,2026-07-21,7396,7396,7175,327.9
22,2026-07-22,7124,7124,7550,345.0
23,2026-07-23,12935,12935,12112,553.6
24,2026-07-24,12204,12204,13055,597.2
25,2026-07-25,7531,7531,7353,336.9
26,2026-07-26,10783,10783,10556,484.0
27,2026-07-27,12431,12431,12548,574.6
28,2026-07-28,10029,10029,10088,460.6
29,2026-07-29,8054,8054,8389,382.2
30,2026-07-30,7401,7401,6453,293.4
31,2026-07-31,11187,11187,9705,440.7
32,2026-08-01,10845,10845,10993,498.6
33,2026-08-02,12292,12292,11784,534.3
34,2026-08-03,12695,12695,11254,510.4
35,2026-08-04,8879,8879,8037,363.3
36,2026-08-05,7021,7021,7647,346.3
37,2026-08-06,12303,12303,11938,541.0
38,2026-08-07,11653,11653,11493,522.1
39,2026-08-08,12686,12686,12336,561.5
40,2026-08-09,12528,12528,13816,629.7
41,2026-08-10,7299,7299,7623,348.0
42,2026-08-11,9336,9336,9994,456.5
43,2026-08-12,12468,12468,12471,569.0
44,2026-08-13,9580,9580,9547,434.8
45,2026-08-14,6137,6137,5830,265.1
46,2026-08-15,12881,12881,14168,643.6
47,2026-08-16,8042,8042,7004,318.4
48,2026-08-17,9773,9773,8626,393.2
49,2026-08-18,8712,8712,9099,414.7
50,2026-08-19,12086,12086,10459,477.7
51,2026-08-20,9182,9182,9863,450.8
52,2026-08-21,11262,11262,11534,528.2
53,2026-08-22,9921,9921,10532,482.7
54,2026-08-23,12629,12629,12427,570.0
55,2026-08-24,9983,9983,8977,412.3
56,2026-08-25,11304,11304,11682,537.4
57,2026-08-26,12055,12055,11820,543.9
58,2026-08-27,6705,6705,6088,280.3
59,2026-08-28,13751,13751,13584,624.8
60,2026-08-29,12775,12775,13078,601.6
61,2026-08-30,12966,12966,,0
62,2026-08-31,11531,11531,,0
