id,weight_lbs,log_date
1,177.8,2026-07-01
2,178.4,2026-07-03
3,179.2,2026-07-04
4,179.3,2026-07-05
5,180.0,2026-07-06
6,179.3,2026-07-07
7,179.2,2026-07-08
8,179.1,2026-07-09
9,179.6,2026-07-10
10,180.5,2026-07-11
11,180.5,2026-07-13
12,180.4,2026-07-14
13,180.5,2026-07-15
14,181.4,2026-07-16
15,182.2,2026-07-17
16,182.4,2026-07-18
17,183.3,2026-07-19
18,183.2,2026-07-20
19,183.1,2026-07-21
20,183.2,2026-07-22
21,183.3,2026-07-23
22,183.6,2026-07-24
23,184.1,2026-07-25
24,183.7,2026-07-26
25,182.9,2026-07-27
26,182.5,2026-07-28
27,182.4,2026-07-29
28,181.9,2026-07-30
29,181.7,2026-07-31
30,181.8,2026-08-01
31,181.2,2026-08-04
32,181.8,2026-08-05
33,182.0,2026-08-06
34,182.5,2026-08-07
35,182.9,2026-08-08
36,183.1,2026-08-10
37,182.7,2026-08-12
38,182.4,2026-08-13
39,181.8,2026-08-14
40,182.6,2026-08-16
41,182.8,2026-08-17
42,182.7,2026-08-18
43,183.7,2026-08-19
44,183.4,2026-08-21
45,184.0,2026-08-22
46,184.2,2026-08-23
47,184.6,2026-08-25
48,184.3,2026-08-26
49,184.7,2026-08-27
50,184.1,2026-08-28
51,184.4,2026-08-30
52,185.3,2026-08-31
