id,workout_name,exercise_id,scheduled_date,exercise_order,category,sets_completed,reps,weight_lbs,rpe,total_volume,calories_burned
1,Legs Day,1,2026-07-02,1,Legs,4,7,155,9.0,4340,4.5
2,Hinge Day,3,2026-07-02,2,Hinge,3,5,135,7.0,2025,1.9
3,Push Day,2,2026-07-02,3,Push,4,9,155,7.7,5580,5.4
4,Pull Day,6,2026-07-03,1,Pull,5,6,225,8.6,6750,6.8
5,Push Day,2,2026-07-03,2,Push,4,9,185,6.8,6660,6.1
6,Hinge Day,3,2026-07-03,3,Hinge,3,7,185,6.4,3885,3.5
7,Push Day,2,2026-07-06,1,Push,5,10,205,9.4,10250,10.9
8,Push Day,4,2026-07-06,2,Push,3,6,155,7.2,2790,2.6
9,Hinge Day,3,2026-07-06,3,Hinge,4,6,115,7.8,2760,2.7
10,Pull Day,5,2026-07-07,1,Pull,3,8,185,8.5,4440,4.5
11,Pull Day,6,2026-07-07,2,Pull,4,5,225,9.4,4500,4.8
12,Push Day,4,2026-07-07,3,Push,4,5,115,8.7,2300,2.3
13,Pull Day,6,2026-07-09,1,Pull,4,7,155,9.2,4340,4.6
14,Pull Day,5,2026-07-09,2,Pull,4,9,155,6.2,5580,4.9
15,Push Day,2,2026-07-09,3,Push,4,8,155,6.9,4960,4.6
16,Pull Day,5,2026-07-10,1,Pull,3,9,95,9.2,2565,2.7
17,Push Day,2,2026-07-10,2,Push,3,10,155,9.5,4650,5.0
18,Pull Day,6,2026-07-10,3,Pull,3,8,115,6.7,2760,2.5
19,Pull Day,6,2026-07-13,1,Pull,5,8,95,8.0,3800,3.7
20,Pull Day,5,2026-07-13,2,Pull,4,6,135,6.6,3240,2.9
21,Push Day,2,2026-07-13,3,Push,4,8,155,6.1,4960,4.4
22,Legs Day,1,2026-07-14,1,Legs,5,10,115,7.9,5750,5.6
23,Push Day,4,2026-07-14,2,Push,4,7,135,8.5,3780,3.8
24,Pull Day,5,2026-07-14,3,Pull,3,7,155,7.7,3255,3.1
25,Push Day,2,2026-07-16,1,Push,5,9,225,8.4,10125,10.2
26,Push Day,4,2026-07-16,2,Push,4,7,95,9.1,2660,2.8
27,Pull Day,5,2026-07-16,3,Pull,5,8,225,8.2,9000,8.9
28,Push Day,2,2026-07-17,1,Push,3,9,185,8.6,4995,5.1
29,Hinge Day,3,2026-07-17,2,Hinge,4,7,95,8.6,2660,2.7
30,Pull Day,6,2026-07-17,3,Pull,5,8,205,8.3,8200,8.2
31,Push Day,4,2026-07-20,1,Push,3,10,205,6.6,6150,5.6
32,Hinge Day,3,2026-07-20,2,Hinge,3,6,135,9.0,2430,2.5
33,Pull Day,6,2026-07-20,3,Pull,4,5,95,7.5,1900,1.8
34,Pull Day,5,2026-07-21,1,Pull,3,8,95,6.4,2280,2.0
35,Push Day,4,2026-07-21,2,Push,4,8,115,8.0,3680,3.6
36,Legs Day,1,2026-07-21,3,Legs,5,9,185,7.2,8325,7.8
37,Pull Day,5,2026-07-23,1,Pull,5,8,115,8.7,4600,4.7
38,Pull Day,6,2026-07-23,2,Pull,5,6,225,8.2,6750,6.7
39,Push Day,2,2026-07-23,3,Push,3,6,95,6.0,1710,1.5
40,Push Day,4,2026-07-24,1,Push,4,10,185,8.3,7400,7.4
41,Pull Day,5,2026-07-24,2,Pull,3,7,185,9.1,3885,4.1
42,Pull Day,6,2026-07-24,3,Pull,3,8,205,6.6,4920,4.5
43,Push Day,4,2026-07-27,1,Push,4,10,185,7.1,7400,6.9
44,Hinge Day,3,2026-07-27,2,Hinge,4,8,95,6.3,3040,2.7
45,Pull Day,6,2026-07-27,3,Pull,5,9,115,6.1,5175,4.6
46,Hinge Day,3,2026-07-28,1,Hinge,3,5,205,8.3,3075,3.1
47,Push Day,2,2026-07-28,2,Push,4,5,205,6.1,4100,3.6
48,Push Day,4,2026-07-28,3,Push,3,7,205,7.9,4305,4.2
49,Push Day,2,2026-07-30,1,Push,3,8,185,7.1,4440,4.1
50,Pull Day,5,2026-07-30,2,Pull,5,8,185,6.8,7400,6.8
51,Legs Day,1,2026-07-30,3,Legs,4,7,155,6.2,4340,3.8
52,Legs Day,1,2026-07-31,1,Legs,3,7,185,6.2,3885,3.4
53,Push Day,2,2026-07-31,2,Push,3,9,225,7.7,6075,5.9
54,Push Day,4,2026-07-31,3,Push,5,6,155,6.7,4650,4.2
55,Legs Day,1,2026-08-03,1,Legs,4,8,225,9.3,7200,7.6
56,Pull Day,5,2026-08-03,2,Pull,4,6,95,7.3,2280,2.1
57,Push Day,4,2026-08-03,3,Push,4,7,205,6.4,5740,5.1
58,Legs Day,1,2026-08-04,1,Legs,5,10,155,7.0,7750,7.2
59,Pull Day,5,2026-08-04,2,Pull,5,7,185,8.0,6475,6.3
60,Pull Day,6,2026-08-04,3,Pull,4,8,205,6.1,6560,5.8
61,Push Day,2,2026-08-06,1,Push,5,6,135,7.3,4050,3.8
62,Legs Day,1,2026-08-06,2,Legs,5,7,95,6.3,3325,3.0
63,Pull Day,6,2026-08-06,3,Pull,4,7,185,7.0,5180,4.8
64,Pull Day,5,2026-08-07,1,Pull,5,8,95,8.9,3800,3.9
65,Hinge Day,3,2026-08-07,2,Hinge,3,10,205,9.4,6150,6.5
66,Push Day,2,2026-08-07,3,Push,4,7,115,7.2,3220,3.0
67,Hinge Day,3,2026-08-10,1,Hinge,5,10,185,6.9,9250,8.5
68,Pull Day,5,2026-08-10,2,Pull,5,9,115,8.6,5175,5.2
69,Legs Day,1,2026-08-10,3,Legs,4,7,155,6.8,4340,4.0
70,Hinge Day,3,2026-08-11,1,Hinge,4,10,95,9.2,3800,4.0
71,Pull Day,5,2026-08-11,2,Pull,5,8,135,6.5,5400,4.9
72,Push Day,4,2026-08-11,3,Push,3,7,115,6.8,2415,2.2
73,Push Day,4,2026-08-13,1,Push,5,5,95,6.5,2375,2.1
74,Pull Day,5,2026-08-13,2,Pull,4,7,135,8.9,3780,3.9
75,Hinge Day,3,2026-08-13,3,Hinge,3,9,95,6.7,2565,2.3
76,Pull Day,5,2026-08-14,1,Pull,3,5,225,7.0,3375,3.1
77,Push Day,2,2026-08-14,2,Push,4,10,205,6.1,8200,7.2
78,Legs Day,1,2026-08-14,3,Legs,5,10,225,6.1,11250,9.9
79,Push Day,2,2026-08-17,1,Push,3,8,135,6.0,3240,2.8
